precision,recall,f1,n_true,n_pred,count_error,sweep_value,dataset
0.6666666666666666,0.8888888888888888,0.761904761904762,9,12,3,0.05,iaq_varyQ_seg10_seed64
0.7777777777777778,0.7,0.7368421052631577,10,9,-1,0.05,iaq_varyQ_seg11_seed12
0.5,0.1,0.16666666666666669,10,2,-8,0.05,iaq_varyQ_seg11_seed87
0.7,0.7,0.7,10,10,0,0.05,iaq_varyQ_seg11_seed90
0.7777777777777778,0.6363636363636364,0.7000000000000001,11,9,-2,0.05,iaq_varyQ_seg12_seed22
0.7857142857142857,1.0,0.88,11,14,3,0.05,iaq_varyQ_seg12_seed83
0.8181818181818182,0.75,0.7826086956521738,12,11,-1,0.05,iaq_varyQ_seg13_seed26
0.8,1.0,0.888888888888889,12,15,3,0.05,iaq_varyQ_seg13_seed3
1.0,0.75,0.8571428571428571,12,9,-3,0.05,iaq_varyQ_seg13_seed96
0.9166666666666666,0.8461538461538461,0.8799999999999999,13,12,-1,0.05,iaq_varyQ_seg14_seed39
1.0,0.5454545454545454,0.7058823529411764,11,6,-5,0.05,iaq_varyQ_seg14_seed45
0.9166666666666666,0.8461538461538461,0.8799999999999999,13,12,-1,0.05,iaq_varyQ_seg14_seed71
0.3076923076923077,1.0,0.47058823529411764,4,13,9,0.05,iaq_varyQ_seg5_seed57
0.3,0.75,0.4285714285714285,4,10,6,0.05,iaq_varyQ_seg5_seed77
0.2727272727272727,0.6,0.37499999999999994,5,11,6,0.05,iaq_varyQ_seg6_seed14
1.0,0.2,0.33333333333333337,5,1,-4,0.05,iaq_varyQ_seg6_seed35
0.4444444444444444,0.5714285714285714,0.5,7,9,2,0.05,iaq_varyQ_seg8_seed51
0.45454545454545453,0.625,0.5263157894736842,8,11,3,0.05,iaq_varyQ_seg9_seed68
0.625,0.625,0.625,8,8,0,0.05,iaq_varyQ_seg9_seed9
0.4444444444444444,0.5,0.47058823529411764,8,9,1,0.05,iaq_varyQ_seg9_seed92
0.7272727272727273,0.8888888888888888,0.7999999999999999,9,11,2,0.1,iaq_varyQ_seg10_seed64
0.7777777777777778,0.7,0.7368421052631577,10,9,-1,0.1,iaq_varyQ_seg11_seed12
1.0,0.1,0.18181818181818182,10,1,-9,0.1,iaq_varyQ_seg11_seed87
0.6666666666666666,0.6,0.631578947368421,10,9,-1,0.1,iaq_varyQ_seg11_seed90
0.875,0.6363636363636364,0.7368421052631579,11,8,-3,0.1,iaq_varyQ_seg12_seed22
0.9090909090909091,0.9090909090909091,0.9090909090909091,11,11,0,0.1,iaq_varyQ_seg12_seed83
0.8181818181818182,0.75,0.7826086956521738,12,11,-1,0.1,iaq_varyQ_seg13_seed26
0.8461538461538461,0.9166666666666666,0.8799999999999999,12,13,1,0.1,iaq_varyQ_seg13_seed3
1.0,0.5,0.6666666666666666,12,6,-6,0.1,iaq_varyQ_seg13_seed96
0.9090909090909091,0.7692307692307693,0.8333333333333333,13,11,-2,0.1,iaq_varyQ_seg14_seed39
1.0,0.2727272727272727,0.42857142857142855,11,3,-8,0.1,iaq_varyQ_seg14_seed45
0.8888888888888888,0.6153846153846154,0.7272727272727274,13,9,-4,0.1,iaq_varyQ_seg14_seed71
0.18181818181818182,0.5,0.26666666666666666,4,11,7,0.1,iaq_varyQ_seg5_seed57
0.3333333333333333,0.75,0.46153846153846156,4,9,5,0.1,iaq_varyQ_seg5_seed77
0.3,0.6,0.4,5,10,5,0.1,iaq_varyQ_seg6_seed14
1.0,0.2,0.33333333333333337,5,1,-4,0.1,iaq_varyQ_seg6_seed35
0.375,0.42857142857142855,0.39999999999999997,7,8,1,0.1,iaq_varyQ_seg8_seed51
0.5555555555555556,0.625,0.5882352941176471,8,9,1,0.1,iaq_varyQ_seg9_seed68
0.8,0.5,0.6153846153846154,8,5,-3,0.1,iaq_varyQ_seg9_seed9
0.5,0.5,0.5,8,8,0,0.1,iaq_varyQ_seg9_seed92
0.7272727272727273,0.8888888888888888,0.7999999999999999,9,11,2,0.15,iaq_varyQ_seg10_seed64
0.75,0.6,0.6666666666666665,10,8,-2,0.15,iaq_varyQ_seg11_seed12
1.0,0.1,0.18181818181818182,10,1,-9,0.15,iaq_varyQ_seg11_seed87
0.8,0.4,0.5333333333333333,10,5,-5,0.15,iaq_varyQ_seg11_seed90
0.8571428571428571,0.5454545454545454,0.6666666666666665,11,7,-4,0.15,iaq_varyQ_seg12_seed22
0.9090909090909091,0.9090909090909091,0.9090909090909091,11,11,0,0.15,iaq_varyQ_seg12_seed83
0.875,0.5833333333333334,0.7000000000000001,12,8,-4,0.15,iaq_varyQ_seg13_seed26
0.8888888888888888,0.6666666666666666,0.761904761904762,12,9,-3,0.15,iaq_varyQ_seg13_seed3
1.0,0.4166666666666667,0.5882352941176471,12,5,-7,0.15,iaq_varyQ_seg13_seed96
0.8888888888888888,0.6153846153846154,0.7272727272727274,13,9,-4,0.15,iaq_varyQ_seg14_seed39
1.0,0.09090909090909091,0.16666666666666669,11,1,-10,0.15,iaq_varyQ_seg14_seed45
0.875,0.5384615384615384,0.6666666666666667,13,8,-5,0.15,iaq_varyQ_seg14_seed71
0.18181818181818182,0.5,0.26666666666666666,4,11,7,0.15,iaq_varyQ_seg5_seed57
0.42857142857142855,0.75,0.5454545454545454,4,7,3,0.15,iaq_varyQ_seg5_seed77
0.3,0.6,0.4,5,10,5,0.15,iaq_varyQ_seg6_seed14
1.0,0.2,0.33333333333333337,5,1,-4,0.15,iaq_varyQ_seg6_seed35
0.42857142857142855,0.42857142857142855,0.42857142857142855,7,7,0,0.15,iaq_varyQ_seg8_seed51
0.5555555555555556,0.625,0.5882352941176471,8,9,1,0.15,iaq_varyQ_seg9_seed68
1.0,0.25,0.4,8,2,-6,0.15,iaq_varyQ_seg9_seed9
0.5,0.25,0.3333333333333333,8,4,-4,0.15,iaq_varyQ_seg9_seed92
0.6666666666666666,0.6666666666666666,0.6666666666666666,9,9,0,0.2,iaq_varyQ_seg10_seed64
0.8333333333333334,0.5,0.625,10,6,-4,0.2,iaq_varyQ_seg11_seed12
1.0,0.1,0.18181818181818182,10,1,-9,0.2,iaq_varyQ_seg11_seed87
1.0,0.4,0.5714285714285715,10,4,-6,0.2,iaq_varyQ_seg11_seed90
0.8333333333333334,0.45454545454545453,0.5882352941176471,11,6,-5,0.2,iaq_varyQ_seg12_seed22
0.9,0.8181818181818182,0.8571428571428572,11,10,-1,0.2,iaq_varyQ_seg12_seed83
