number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_kappa,params_lambda_phys,params_lr_net,params_lr_params,params_n_hidden,params_ramp_epochs,params_warmup_epochs,user_attrs_mean_f1,user_attrs_mean_recon_err,state
0,-0.24432678677116415,2026-07-07 02:19:19.808900,2026-07-07 02:22:12.751834,0 days 00:02:52.942934,32,12.881829201412343,2.607024758370768,0.00020511104188433984,0.001255111517297384,3,1350,1400,0.5031212748604054,0.2946389142572047,COMPLETE
1,-0.3778421005615718,2026-07-07 02:22:12.758617,2026-07-07 02:25:52.003851,0 days 00:03:39.245234,32,29.529140491285858,1.6738085788752133,0.0004059611610484307,0.0077901431262762414,6,850,800,0.5570173787565091,0.4335438384372227,COMPLETE
2,-0.4191600859956022,2026-07-07 02:25:52.006019,2026-07-07 02:29:30.125830,0 days 00:03:38.119811,96,19.107223017939134,0.2193048555664369,0.0010677482709481358,0.010150667045928576,3,1350,300,0.5903507120898425,0.4781951572045865,COMPLETE
3,-0.3735521265559461,2026-07-07 02:29:30.127839,2026-07-07 02:32:58.377261,0 days 00:03:28.249422,32,137.3048562910295,0.1171593739230706,0.0023359635026261607,0.005595074635794793,6,1100,400,0.5340705188531276,0.42695917844125886,COMPLETE
4,-0.5960277023677035,2026-07-07 02:32:58.379009,2026-07-07 02:35:08.762587,0 days 00:02:10.383578,32,93.70599703355192,6.161049539380966,0.00023426581058204064,0.04439102767051398,3,1850,1300,0.45953635736244436,0.641981338103948,COMPLETE
5,-0.2844545887735502,2026-07-07 02:35:08.764594,2026-07-07 02:40:02.095564,0 days 00:04:53.330970,128,85.97745164215479,0.3646439558980721,0.0005989003672254305,0.0028907721743726736,6,1100,1300,0.5744086831043352,0.3418954570839837,COMPLETE
6,-0.3412170496007937,2026-07-07 02:40:02.097229,2026-07-07 02:42:14.428008,0 days 00:02:12.330779,96,117.9778485360324,2.8708753481954687,0.00024970737145052745,0.0010218376758008086,2,1600,1300,0.4824863542254846,0.38946568502334217,COMPLETE
7,-0.3336876553841082,2026-07-07 02:42:14.430013,2026-07-07 02:44:54.625064,0 days 00:02:40.195051,96,99.25804598972984,2.878805718308924,0.0004589824181495653,0.0012822825454807559,2,850,700,0.5381109228935316,0.3874987476734614,COMPLETE
8,-0.3980293152765639,2026-07-07 02:44:54.627224,2026-07-07 02:50:24.631958,0 days 00:05:30.004734,128,13.558677744173327,0.7162786999897341,0.0013260331922696556,0.020410334065257055,6,1350,900,0.6148127235083757,0.45951058762740143,COMPLETE
9,-0.30407270961597754,2026-07-07 02:50:24.633965,2026-07-07 02:52:47.124391,0 days 00:02:22.490426,64,20.77718737603102,0.28681134821030074,0.006533305220227739,0.002651795441046284,2,1600,800,0.643315138967313,0.36840422351270885,COMPLETE
10,-0.5236364474205052,2026-07-07 02:52:47.125073,2026-07-07 02:55:19.157391,0 days 00:02:32.032318,64,57.16911967709613,8.308860966122063,0.00010353677627159794,0.03836483425081144,4,600,1500,0.4287314135140222,0.5665095887719074,COMPLETE
11,-0.34571726166754246,2026-07-07 02:55:19.157391,2026-07-07 02:59:45.278030,0 days 00:04:26.120639,128,64.71970222816606,0.700027091310136,0.00012301847657819202,0.0024825193521166838,5,1100,1200,0.522234770060857,0.39794073867362817,COMPLETE
12,-0.29234240445373627,2026-07-07 02:59:45.279203,2026-07-07 03:03:11.931068,0 days 00:03:26.651865,128,59.47545936577449,0.8657857585898332,0.0007332930751622041,0.0025175170340614736,4,1100,1500,0.6488706945228684,0.3572294739060231,COMPLETE
13,-0.28445153882366797,2026-07-07 03:03:11.933073,2026-07-07 03:05:51.492058,0 days 00:02:39.558985,32,80.48480749511876,0.3366298331047869,0.0029675693249206995,0.0017816624234026157,5,1350,1100,0.591865863604994,0.34363812518416736,COMPLETE
14,-0.27362927776709,2026-07-07 03:05:51.493180,2026-07-07 03:08:18.009472,0 days 00:02:26.516292,32,149.44237851056988,0.11899734982380017,0.009672643445241661,0.001549687264531107,4,1600,1100,0.7019009975531715,0.34381937752240715,COMPLETE
15,-0.31492616592107314,2026-07-07 03:08:18.011413,2026-07-07 03:10:37.371013,0 days 00:02:19.359600,32,145.6977792868205,0.12656703932446922,0.008167920274413307,0.004508674885439534,3,1850,1000,0.5902848359370099,0.37395464951477414,COMPLETE
16,-0.27415391168725,2026-07-07 03:10:37.373008,2026-07-07 03:13:22.971834,0 days 00:02:45.598826,32,115.48720963352133,4.21640097273637,0.003585537073227699,0.0015983862532391367,4,1600,600,0.6132975719932243,0.33548366888657244,COMPLETE
17,-0.2451118898052596,2026-07-07 03:13:22.972959,2026-07-07 03:15:36.582287,0 days 00:02:13.609328,32,39.85966698835712,1.273788045660539,0.004798156216545938,0.0010593541822351814,3,1600,1100,0.6251333207854948,0.3076252218838091,COMPLETE
18,-0.2534622316743701,2026-07-07 03:15:36.582287,2026-07-07 03:17:37.738387,0 days 00:02:01.156100,32,39.524492050340946,1.404038235897597,0.001781728378763467,0.0010235576374033545,3,1850,1400,0.6307547524938829,0.3165377069237584,COMPLETE
19,-0.36284252360360775,2026-07-07 03:17:37.740780,2026-07-07 03:20:12.253476,0 days 00:02:34.512696,64,42.081782075834916,1.5217712101384775,0.0053624862086645774,0.00403672667914065,3,1350,1100,0.6488706945228684,0.4277295930558946,COMPLETE
20,-0.2800028854161957,2026-07-07 03:20:12.255481,2026-07-07 03:22:06.282527,0 days 00:01:54.027046,32,41.60917579233939,2.5922599606802157,0.00023617649465638554,0.0017290847623347477,2,1600,1400,0.43428383210991905,0.32343126862718763,COMPLETE
21,-0.2496010530354011,2026-07-07 03:22:06.284310,2026-07-07 03:24:46.881025,0 days 00:02:40.596715,32,36.85779167539406,1.1957462920461972,0.0017887746144351533,0.0010052705034159515,3,1850,1400,0.5959062676453981,0.3091916797999409,COMPLETE
22,-0.20381689953311444,2026-07-07 03:24:46.882680,2026-07-07 03:27:28.729530,0 days 00:02:41.846850,32,10.099994022138414,1.0456712584261056,0.004560374157467938,0.001000589666517108,3,1850,1200,0.6259238346194869,0.2664092829950631,COMPLETE
23,-0.2506362470541108,2026-07-07 03:27:28.738028,2026-07-07 03:30:17.860836,0 days 00:02:49.122808,32,24.97021058019081,0.482503494706484,0.004178362379816077,0.0019783677575485373,3,1850,1200,0.6299642386598909,0.3136326709200999,COMPLETE
24,-0.24230417485350636,2026-07-07 03:30:17.864287,2026-07-07 03:33:26.770491,0 days 00:03:08.906204,32,11.373182782039175,1.9101183059118996,0.0048762841481736945,0.0013409309390659636,4,1600,1000,0.6092571679528203,0.3032298916487884,COMPLETE
25,-0.23756159702764032,2026-07-07 03:33:26.770491,2026-07-07 03:36:59.361761,0 days 00:03:32.591270,32,10.149528491442688,2.0748724054128207,0.0009857896886573383,0.001408356065693584,5,1350,900,0.5625729343120648,0.2938188904588468,COMPLETE
26,-0.2656590801986574,2026-07-07 03:36:59.363767,2026-07-07 03:40:33.862767,0 days 00:03:34.499000,32,10.905498108843368,2.0155222519084863,0.0025453253411581245,0.002103900072275923,5,1600,1000,0.6044921262312568,0.3261082928217831,COMPLETE
27,-0.34167136825272626,2026-07-07 03:40:33.862767,2026-07-07 03:46:00.478570,0 days 00:05:26.615803,96,28.578327113364622,4.808031607653926,0.0066865391000538454,0.0036688735946898018,5,1850,900,0.6788882614969571,0.409560194402422,COMPLETE
28,-0.26734630718954644,2026-07-07 03:46:00.480576,2026-07-07 03:50:29.113422,0 days 00:04:28.632846,64,49.63263666821527,0.9822417771628477,0.0009593582374327187,0.0013787500013117927,4,1350,500,0.5744745592571678,0.3247937631152632,COMPLETE
29,-0.2542574192401449,2026-07-07 03:50:29.117448,2026-07-07 03:54:15.073803,0 days 00:03:45.956355,32,11.399419789460172,2.0329315412061875,0.001980350784187499,0.0014800222722984248,5,1350,900,0.6037674885500974,0.31463416809515465,COMPLETE
30,-0.3328038219247994,2026-07-07 03:54:15.073803,2026-07-07 03:57:51.564431,0 days 00:03:36.490628,32,28.79973267149267,0.5774368698824256,0.003059102690966624,0.0032753304540490266,4,1600,700,0.5728935315891839,0.3900931750837178,COMPLETE
31,-0.2880309935996763,2026-07-07 03:57:51.566436,2026-07-07 04:01:05.066496,0 days 00:03:13.500060,32,19.618438130221158,3.790424419321921,0.00015156359775200367,0.001257682516565909,4,1350,1200,0.39387979170587867,0.32741897277026416,COMPLETE
32,-0.2486676222663809,2026-07-07 04:01:05.068859,2026-07-07 04:04:44.174036,0 days 00:03:39.105177,32,11.241036045545986,2.125044270603338,0.00035124851591812254,0.0020716196326370333,5,1350,1000,0.5721688939080243,0.30588451165718333,COMPLETE
33,-0.2799048278327212,2026-07-07 04:04:44.176041,2026-07-07 04:08:14.359143,0 days 00:03:30.183102,32,20.73337082731891,3.262566221453975,0.0012715412021387183,0.001270829077405968,4,1600,800,0.5158887006713094,0.33149369789985217,COMPLETE
34,-0.4192262217423224,2026-07-07 04:08:14.362501,2026-07-07 04:11:11.669650,0 days 00:02:57.307149,32,28.87700050021766,5.810682574500781,0.00034872854706039197,0.008855436320518146,3,850,1200,0.44612271786184826,0.4638384935285072,COMPLETE
35,-0.36304663041795326,2026-07-07 04:11:11.671656,2026-07-07 04:15:52.299013,0 days 00:04:40.627357,32,19.40814612759676,1.8564440071537953,0.0008399987621058312,0.005261964892828013,6,1100,300,0.5125729343120646,0.4143039238491597,COMPLETE
36,-0.31605738168599645,2026-07-07 04:15:52.300515,2026-07-07 04:18:58.087205,0 days 00:03:05.786690,96,33.69894413302224,1.0016940304706976,0.0005138146947560732,0.002121123247070697,2,1850,1300,0.57526507309116,0.37358388899511247,COMPLETE
37,-0.21493811529418133,2026-07-07 04:18:58.089214,2026-07-07 04:22:02.620366,0 days 00:03:04.531152,32,10.450920646020423,2.4080942911737377,0.001281342686365661,0.0012167579291566023,3,1100,900,0.6070173787565093,0.27563985316983225,COMPLETE
38,-0.22979759588759602,2026-07-07 04:22:02.624192,2026-07-07 04:25:37.965023,0 days 00:03:35.340831,32,10.556556857759283,2.4806575938638704,0.0013884987397534605,0.001217703494220336,4,1100,700,0.5721688939080243,0.28701448527839846,COMPLETE
39,-0.3515856908768597,2026-07-07 04:25:37.966730,2026-07-07 04:30:49.038094,0 days 00:05:11.071364,128,22.330227767581924,2.8386809929262893,0.000649859428626869,0.015551193239221208,3,850,600,0.6132975719932243,0.41291544807618213,COMPLETE
