number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_kappa,params_lambda_phys,params_lr_net,params_lr_params,params_n_colloc,params_ramp_epochs,params_warmup_epochs,user_attrs_mean_f1,user_attrs_mean_recon_err,state
0,-0.25588170073462496,2026-07-12 01:41:09.403409,2026-07-12 01:45:18.242609,0 days 00:04:08.839200,32,4.067089650074564,2.607024758370768,0.00024345423962016954,1.6400214911202314e-05,3000,2100,1800,0.5157538114059852,0.30745708187522347,COMPLETE
1,-0.30436072010724363,2026-07-12 01:45:18.248362,2026-07-12 01:49:29.170581,0 days 00:04:10.922219,16,44.52955263174751,0.19010245319870356,0.0019947354703074493,0.00039605150456850803,1300,2100,800,0.5514618232009537,0.359506902427339,COMPLETE
2,-0.46747233891170853,2026-07-12 01:49:29.172585,2026-07-12 01:54:40.433930,0 days 00:05:11.261345,32,144.87917292810934,7.902619549708233,0.0001303356747514745,0.0017672182322665067,2500,600,600,0.4183418031244118,0.5093065192241497,COMPLETE
3,-0.2306085528259266,2026-07-12 01:54:40.437937,2026-07-12 01:58:56.496856,0 days 00:04:16.058919,64,47.44495033732223,2.113705944064573,0.0016850517723339103,1.3403002793227001e-05,1700,1100,1900,0.6544262500784239,0.296051177833769,COMPLETE
4,-0.33501132139647927,2026-07-12 01:58:56.498859,2026-07-12 02:02:53.506506,0 days 00:03:57.007647,64,7.738866047670172,0.24658447214487378,0.01646629338296679,0.0016278488880914369,1200,600,1900,0.5728935315891839,0.3923006745553977,COMPLETE
5,-0.20616894271630498,2026-07-12 02:02:53.509514,2026-07-12 02:06:49.593863,0 days 00:03:56.084349,64,116.06447062520195,9.413993046829944,0.002209652614551386,3.3210428646429775e-05,800,600,1700,0.7059414015935755,0.27676308287566254,COMPLETE
6,-0.3264491188612925,2026-07-12 02:06:49.595867,2026-07-12 02:10:58.907267,0 days 00:04:09.311400,32,50.30380570304473,1.764396768338155,0.00015255188579331395,0.00021181366627251398,400,2600,500,0.41761716544325245,0.3682108354056178,COMPLETE
7,-0.2624840478213357,2026-07-12 02:10:58.909274,2026-07-12 02:17:14.257029,0 days 00:06:15.347755,128,115.87410981322958,1.3260331922696553,0.0014782014634883794,2.7693352161829517e-05,1600,2350,1500,0.6044231131187653,0.32292635913321227,COMPLETE
8,-0.2868921335141881,2026-07-12 02:17:14.258777,2026-07-12 02:21:44.962001,0 days 00:04:30.703224,16,62.14705553230883,0.31519872951938893,0.003771080093816556,0.0001454766677575916,2400,2850,1200,0.5555022272413577,0.34244235623832386,COMPLETE
9,-0.40601295553375527,2026-07-12 02:21:44.964004,2026-07-12 02:29:39.325718,0 days 00:07:54.361714,128,133.9912907750067,0.23612399244412613,0.010041813901025367,0.002202629725677973,1800,2600,1800,0.6892747349269089,0.4749404290264462,COMPLETE
