path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,0.80217254,6.4478755,32.91441,12067.654,0.077036306
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,0.012825477,32.91441,4.55195,0.077036306,113.513435
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,0.6768212,4.55195,46.75367,113.513435,0.025978252
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,3.8664565,46.75367,129.93204,0.025978252,32735.158
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,0.801807,129.93204,5.492459,32735.158,15428.039
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,4.368128,5.492459,201.06485,15428.039,0.011770693
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,3.9728904,201.06485,52.19202,0.011770693,1245.988
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,7.9444194,52.19202,215.68887,1245.988,22829.994
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,6.232134,215.68887,6.0949435,22829.994,0.18860497
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,7.953353,6.0949435,1.8885864,0.18860497,28799.22
