path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,0.28728595,3.3088431,24.605219,125596.12,0.033836402
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,1.4814945,24.605219,328.70566,0.033836402,109991.58
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,0.0056011607,328.70566,30.693811,109991.58,0.026266865
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,3.6170254,30.693811,278.59918,0.026266865,191782.44
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,1.4735984,278.59918,38.693554,191782.44,0.04701873
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,4.367002,38.693554,124.78699,0.04701873,0.09926855
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,3.6178634,124.78699,125.53599,0.09926855,52716.79
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,6.227215,125.53599,12.471438,52716.79,0.16616306
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,5.6389785,12.471438,112.0588,0.16616306,0.0883448
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,6.2274337,112.0588,15.9248905,0.0883448,24846.021
./data/datasets/varying_pinn_datasets/varying_S.csv,100,0.1,6.3989034,15.9248905,1.4010786,24846.021,61125.723
