path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.05,0.03889812,0.23471335,0.21672513,653.65533,0.9247724
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.05,0.011524859,0.21672513,0.037143353,0.9247724,686.591
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.05,6.663473,0.037143353,0.14010012,686.591,1265.3073
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.1,0.045103073,0.24724579,0.19386497,641.8043,6.0213547
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.1,0.023353998,0.19386497,0.0466125,6.0213547,615.57184
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.1,6.7881465,0.0466125,0.07509109,615.57184,2588.9604
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.2,2.210804,0.2364453,0.1318159,2393.082,324.26416
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.2,0.021153152,0.1318159,0.06453902,324.26416,241.71483
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.2,6.899523,0.06453902,0.107447855,241.71483,3073.7834
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.3,0.04892548,0.23024988,0.21053287,778.8332,5.695138
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.3,0.022700053,0.21053287,0.056764685,5.695138,746.0658
./data/datasets/varying_pinn_datasets/varying_Q.csv,1,0.3,7.947399,0.056764685,0.14227699,746.0658,856.7055
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,2.5305898,0.6475218,237.17905,7671.1357,0.028588815
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,4.3621144,237.17905,747.785,0.028588815,78366.12
./data/datasets/varying_pinn_datasets/varying_Q.csv,50,0.05,2.8637993,747.785,124.272575,78366.12,24886.762
