path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,0.6945777,114.0268,93.81642,24659.863,0.07381525
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,2.5236533,93.81642,802.6522,0.07381525,54090.902
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,0.10694941,802.6522,389.05188,54090.902,0.84302086
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,4.5009956,389.05188,597.80255,0.84302086,0.04903657
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,2.3875537,597.80255,1192.2257,0.04903657,144794.66
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,5.480321,1192.2257,852.796,144794.66,0.06926276
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,7.9520135,852.796,1029.2753,0.06926276,16276.898
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,3.9962366,1029.2753,332.4985,16276.898,1.1169124
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,5.733464,332.4985,50.11981,1.1169124,11.73203
./data/datasets/varying_pinn_datasets/varying_Q.csv,800,0.2,7.9675226,50.11981,19.44365,11.73203,27095.807
