path,Q_init,S_init,tau,Q_minus,Q_plus,S_minus,S_plus
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,1.3414441,2.2404268,171.2465,505.91513,0.024525423
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,0.0016563266,171.2465,135.40797,0.024525423,0.12329506
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,4.1537004,135.40797,175.77759,0.12329506,0.06625997
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,1.0211501,175.77759,0.63425374,0.06625997,0.17814608
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,1.5332952,0.63425374,25.379477,0.17814608,0.03500377
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,4.3520966,25.379477,43.290195,0.03500377,0.050097294
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,4.4296303,43.290195,65.6172,0.050097294,6.825846
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,5.6123743,65.6172,109.53825,6.825846,0.051911533
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,6.4600935,109.53825,60.1955,0.051911533,51280.316
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,7.9626555,60.1955,13.309523,51280.316,0.0197063
./data/datasets/varying_pinn_datasets/varying_S.csv,50,0.05,6.230152,13.309523,7.379248,0.0197063,56611.035
