segment,start_idx,end_idx,n_points,duration_hr,C0,C_end,delta_C,abs_delta_C,C_mean,C_std,C_range,Q_true,S_true,Css_true,Q_pred,S_pred,Q_abs_error,S_abs_error,Q_rel_error,S_rel_error,dist_start_to_Css,dist_end_to_Css,pinn_t_min,pinn_t_max,pinn_y_mean,pinn_y_std
0,0,54,54,0.8833333333333333,501.8859533164009,700.5318117096126,198.6458583932117,198.6458583932117,623.2875913631229,59.72434225907707,209.50020147241594,200.0,61998.09312103858,729.9904656051929,157.88226318359375,54588.39453125,42.11773681640625,7409.6985897885825,0.21058868408203124,0.11951494339225342,228.10451228879197,29.458653895580255,0.0,0.8833333333333333,623.2875913631229,59.72434225907707
1,54,89,35,0.5666666666666665,742.0754779793953,2627.757932480099,1885.682454500704,1885.682454500704,1869.610830863576,554.7348103354619,1886.199483831525,200.0,622132.8579834284,3530.664289917142,114.64018249511719,496436.34375,85.35981750488281,125696.5142334284,0.4267990875244141,0.20204127240740682,2788.588811937747,902.906357437043,0.9,1.4666666666666666,1869.610830863576,554.7348103354619
2,89,133,44,0.7166666666666668,2694.226943187541,3351.407601364524,657.1806581769829,657.1806581769829,3083.112505641712,196.01522609896722,657.675663426819,200.0,627623.9948345305,3558.1199741726527,91.32833099365234,335405.9375,108.67166900634766,292218.0573345305,0.5433583450317383,0.4655941451243784,863.8930309851116,206.71237280812875,1.4833333333333334,2.2,3083.112505641712,196.01522609896722
3,133,176,43,0.6999999999999997,3337.999130661261,1367.99136949298,-1970.007761168281,1970.007761168281,2130.1067809607644,569.7401194517156,1970.007761168281,200.0,62541.88547673062,732.7094273836531,211.19830322265625,80663.875,11.19830322265625,18121.98952326938,0.05599151611328125,0.289757646177966,2605.289703277608,635.281942109327,2.216666666666667,2.9166666666666665,2130.1067809607644,569.7401194517156
4,176,211,35,0.5666666666666669,1323.6573417257323,821.8001447281124,-501.8571969976199,501.8571969976199,1032.5065860024527,153.86238797147976,513.9656888565423,200.0,30000.0,570.0,215.7821807861328,41321.96484375,15.782180786132812,11321.96484375,0.07891090393066406,0.377398828125,753.6573417257323,251.8001447281124,2.933333333333333,3.5,1032.5065860024527,153.86238797147976
5,211,257,46,0.75,852.6069791033376,2521.1089069018867,1668.501927798549,1668.501927798549,1876.0360902140471,496.88340004263483,1674.630299800657,200.0,520635.2833868981,3023.1764169344906,132.22409057617188,416985.75,67.77590942382812,103649.53338689811,0.33887954711914064,0.19908280651404364,2170.5694378311528,502.0675100326039,3.5166666666666666,4.266666666666667,1876.0360902140471,496.88340004263483
6,257,302,45,0.7333333333333334,2549.796685633288,2947.180720045153,397.3840344118653,397.3840344118653,2784.60455687457,114.21978080255204,401.909978552977,200.0,526931.4936861445,3054.6574684307225,97.04546356201172,284193.9375,102.95453643798828,242737.55618614447,0.5147726821899414,0.46066245630542235,504.8607827974347,107.47674838556941,4.283333333333333,5.016666666666667,2784.60455687457,114.21978080255204
7,302,354,52,0.8499999999999996,2951.242905843995,3207.607311101461,256.3644052574664,256.3644052574664,3117.0122231657565,83.32161158181545,349.4862790078296,200.0,572584.2835223868,3282.921417611934,95.68822479248047,289950.9375,104.31177520751953,282633.3460223868,0.5215588760375977,0.49361003114458774,331.6785117679392,75.31410651047281,5.033333333333333,5.883333333333333,3117.0122231657565,83.32161158181545
8,354,393,39,0.6333333333333329,3241.56392547969,3114.912974700766,-126.6509507789242,126.6509507789242,3158.0936917666268,35.693341980860744,132.93878021944874,200.0,531646.7961695438,3078.2339808477186,101.1896743774414,257035.203125,98.8103256225586,274611.59304454376,0.49405162811279296,0.5165301380974923,163.32994463197156,36.67899385304736,5.9,6.533333333333333,3158.0936917666268,35.693341980860744
9,393,450,57,0.9333333333333336,3105.7311027627397,2980.4494538372182,-125.2816489255215,125.2816489255215,3031.1900297036755,39.37969711193193,151.81777912273037,200.0,507250.5496341818,2956.252748170909,101.737548828125,252037.0,98.262451171875,255213.54963418178,0.491312255859375,0.5031311445955777,149.4783545918308,24.1967056663093,6.55,7.483333333333333,3031.1900297036755,39.37969711193193
10,450,481,31,0.5,2984.02168860294,2895.846707162192,-88.17498144074762,88.17498144074762,2923.362480314095,34.01624019813295,151.18736374941136,200.0,482836.3364309541,2834.1816821547704,104.27436828613281,242517.578125,95.72563171386719,240318.7583059541,0.47862815856933594,0.4977230174562884,149.84000644816933,61.66502500742172,7.5,8.0,2923.362480314095,34.01624019813295
