dataset,run_name,mode,recon_mean_rel_err,recon_median_rel_err,recon_max_rel_err,recon_rmse,cp_precision,cp_recall,cp_f1,cp_n_true,cp_n_pred,cp_count_error,n_hidden,hidden_dim,warmup_epochs,ramp_epochs,stage1_sigma
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_1,Q,0.2101660629753346,0.16864897623053668,0.5810061907308005,73.22431435069701,0.7272727272727273,0.8,0.761904761904762,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_2,Q,0.23758562101200625,0.1852604186258338,0.6094758815977792,78.80721938693164,0.7272727272727273,0.8,0.761904761904762,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_3,Q,0.19929325620549684,0.18991588951626823,0.2975049998134816,54.48944716533508,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_4,Q,0.21275552814652607,0.1759218183959412,0.5755194496371814,71.53077875862826,0.7272727272727273,0.8,0.761904761904762,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_5,Q,0.22599676851325243,0.17039741516113197,0.5921227490832239,76.07896317858196,0.7272727272727273,0.8,0.761904761904762,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_6,Q,0.22436257539337673,0.2129711111032031,0.42390161823710115,61.444751133450886,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_7,Q,0.19223320153593762,0.1758401681563815,0.4211424700475779,52.25796724315014,0.5454545454545454,0.6,0.5714285714285713,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_8,Q,0.19051460884062557,0.17873669610125512,0.4032856739977149,51.83356058525405,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_9,Q,0.18779203117429297,0.14170600694387211,0.5951146594009148,69.40577868081675,0.8181818181818182,0.9,0.8571428571428572,10,11,1,3,64,1500,1100,6.177938360791919
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,Easy_ensemble_10,Q,0.21287634329061536,0.19825310151973471,0.4270110827668166,58.103380831960195,0.6363636363636364,0.7,0.6666666666666666,10,11,1,3,64,1500,1100,6.177938360791919
