dataset,run_name,mode,recon_mean_rel_err,recon_median_rel_err,recon_max_rel_err,recon_rmse,cp_precision,cp_recall,cp_f1,cp_n_true,cp_n_pred,cp_count_error,n_hidden,hidden_dim,warmup_epochs,ramp_epochs,stage1_sigma
data\datasets\validation_dataset\iaq_varyQ_seg10_seed64.csv,iaq_varyQ_seg10_seed64,Q,0.5040446970421157,0.43695611981570875,0.9737960907892036,214.51308982614415,0.6363636363636364,0.7777777777777778,0.7000000000000001,9,11,2,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg11_seed12.csv,iaq_varyQ_seg11_seed12,Q,0.4013908493670409,0.19351494804952837,0.8814978305540312,157.56116346241518,0.6666666666666666,0.6,0.631578947368421,10,9,-1,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg11_seed87.csv,iaq_varyQ_seg11_seed87,Q,0.20329176856964484,0.18738072635515715,1.0186960324538028,119.63528789440767,1.0,0.1,0.18181818181818182,10,1,-9,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg11_seed90.csv,iaq_varyQ_seg11_seed90,Q,0.33259799191215794,0.28206752014927183,0.8800714103746051,146.84069401580558,0.5555555555555556,0.5,0.5263157894736842,10,9,-1,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg12_seed22.csv,iaq_varyQ_seg12_seed22,Q,0.4568793471585423,0.3178605656340319,1.9916120417517755,281.4110170426572,0.5,0.36363636363636365,0.4210526315789474,11,8,-3,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg12_seed83.csv,iaq_varyQ_seg12_seed83,Q,0.5277560187666083,0.5144913402338189,1.075345622126997,216.90403546544078,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,11,0,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg13_seed26.csv,iaq_varyQ_seg13_seed26,Q,0.36693239713630993,0.2315435342444967,0.7674945746251375,169.96696472300786,0.7272727272727273,0.6666666666666666,0.6956521739130435,12,11,-1,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg13_seed3.csv,iaq_varyQ_seg13_seed3,Q,0.5240159174084258,0.49780092460340686,0.8548710466955265,280.4071870852449,0.6153846153846154,0.6666666666666666,0.64,12,13,1,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg13_seed96.csv,iaq_varyQ_seg13_seed96,Q,0.38789274020138703,0.39599554076721727,0.8089088807331823,221.7344972015115,0.8333333333333334,0.4166666666666667,0.5555555555555556,12,6,-6,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg14_seed39.csv,iaq_varyQ_seg14_seed39,Q,0.4081320597253394,0.48796938135742923,0.9648994893541906,211.94651047704838,0.8181818181818182,0.6923076923076923,0.7500000000000001,13,11,-2,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg14_seed45.csv,iaq_varyQ_seg14_seed45,Q,0.8898951065004417,0.9503980514394975,0.9908463040282488,282.38227569364335,0.6666666666666666,0.18181818181818182,0.28571428571428575,11,3,-8,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg14_seed71.csv,iaq_varyQ_seg14_seed71,Q,0.607230719135871,0.6360885570665227,0.9117860866052926,271.15208679562676,0.6666666666666666,0.46153846153846156,0.5454545454545455,13,9,-4,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg5_seed57.csv,iaq_varyQ_seg5_seed57,Q,0.37572671597616325,0.3549173356750467,0.9169025894964702,157.86447403440798,0.2727272727272727,0.75,0.39999999999999997,4,11,7,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg5_seed77.csv,iaq_varyQ_seg5_seed77,Q,0.38366997486411236,0.3581908727647658,0.6864160958927805,209.91321969533016,0.4444444444444444,1.0,0.6153846153846153,4,9,5,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg6_seed14.csv,iaq_varyQ_seg6_seed14,Q,0.37461312143221254,0.3968807586093835,0.5654293577272036,215.63539145211212,0.4,0.8,0.5333333333333333,5,10,5,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg6_seed35.csv,iaq_varyQ_seg6_seed35,Q,0.75382672309615,0.7315624564034587,0.9275439021925772,455.66586769235266,1.0,0.2,0.33333333333333337,5,1,-4,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg8_seed51.csv,iaq_varyQ_seg8_seed51,Q,0.831026841550725,0.45125860492373954,3.0949575307648423,606.4176016974383,0.625,0.7142857142857143,0.6666666666666666,7,8,1,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg9_seed68.csv,iaq_varyQ_seg9_seed68,Q,0.4755883978172237,0.48305288865060286,0.80092716789193,185.41742392391862,0.5555555555555556,0.625,0.5882352941176471,8,9,1,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg9_seed9.csv,iaq_varyQ_seg9_seed9,Q,0.6669488819518976,0.8068792027809468,0.9694916665114788,215.26211475437117,0.8,0.5,0.6153846153846154,8,5,-3,4,64,700,1000,5
data\datasets\validation_dataset\iaq_varyQ_seg9_seed92.csv,iaq_varyQ_seg9_seed92,Q,0.5040484022380636,0.5722527425165899,0.7414862111772509,244.37822063979488,0.5,0.5,0.5,8,8,0,4,64,700,1000,5
