segment,start_idx,end_idx,n_points,duration_hr,C0,C_end,delta_C,abs_delta_C,C_mean,C_std,C_range,Q_true,S_true,Css_true,Q_pred,S_pred,Q_abs_error,S_abs_error,Q_rel_error,S_rel_error,dist_start_to_Css,dist_end_to_Css,pinn_t_min,pinn_t_max,pinn_y_mean,pinn_y_std
0,0,54,54,0.8833333333333333,500.0,690.6846876834676,190.6846876834676,190.6846876834676,621.5512285505813,54.903262639937466,190.6846876834676,200.0,61998.09312103858,729.9904656051929,200.34725952148438,62067.1796875,0.347259521484375,69.08656646141753,0.001736297607421875,0.00111433373162849,229.99046560519287,39.30577792172528,0.0,0.8833333333333333,621.5512285505813,54.903262639937466
1,54,89,35,0.5666666666666665,761.4008999356386,2639.077019348998,1877.6761194133594,1877.6761194133594,1868.780720123601,553.2615531976451,1877.6761194133594,200.0,622132.8579834284,3530.664289917142,124.53797912597656,510280.28125,75.46202087402344,111852.5767334284,0.3773101043701172,0.17978889122813024,2769.2633899815037,891.587270568144,0.9,1.4666666666666666,1868.780720123601,553.2615531976451
2,89,133,44,0.7166666666666668,2668.890331400886,3346.027522126969,677.1371907260827,677.1371907260827,3083.877744496969,197.27349940683678,677.1371907260827,200.0,627623.9948345305,3558.1199741726527,92.13921356201172,339759.84375,107.86078643798828,287864.1510845305,0.5393039321899414,0.4586570198936136,889.2296427717665,212.09245204568379,1.4833333333333334,2.2,3083.877744496969,197.27349940683678
3,133,176,43,0.6999999999999997,3318.162268614759,1370.2742638691043,-1947.8880047456546,1947.8880047456546,2129.3038475638987,568.1691983275912,1947.8880047456546,200.0,62541.88547673062,732.7094273836531,199.73992919921875,62163.140625,0.26007080078125,378.7448517306184,0.00130035400390625,0.006055859186904982,2585.4528412311056,637.5648364854512,2.216666666666667,2.9166666666666665,2129.3038475638987,568.1691983275912
4,176,211,35,0.5666666666666669,1345.765660946362,819.7641837171054,-526.0014772292566,526.0014772292566,1035.550588754967,154.98753185202557,526.0014772292566,200.0,30000.0,570.0,212.49169921875,38126.7265625,12.49169921875,8126.7265625,0.06245849609375,0.27089088541666667,775.765660946362,249.76418371710542,2.933333333333333,3.5,1035.550588754967,154.98753185202557
5,211,257,46,0.75,817.9515268013993,2531.1242162809126,1713.1726894795133,1713.1726894795133,1876.4681914209748,497.9202107686862,1713.1726894795133,200.0,520635.2833868981,3023.1764169344906,142.145751953125,434216.46875,57.854248046875,86418.81463689811,0.289271240234375,0.16598724173036494,2205.2248901330913,492.052200653578,3.5166666666666666,4.266666666666667,1876.4681914209748,497.9202107686862
6,257,302,45,0.7333333333333334,2547.3480255474483,2937.6246215107603,390.27659596331205,390.27659596331205,2787.5118347859684,113.56550151254255,390.27659596331205,200.0,526931.4936861445,3054.6574684307225,97.82073211669922,284774.25,102.17926788330078,242157.24368614447,0.5108963394165039,0.4595611509043342,507.3094428832742,117.03284691996214,4.283333333333333,5.016666666666667,2787.5118347859684,113.56550151254255
7,302,354,52,0.8499999999999996,2942.867806418568,3220.799206822026,277.93140040345816,277.93140040345816,3118.6944484357496,80.21152168791154,277.93140040345816,200.0,572584.2835223868,3282.921417611934,95.48986053466797,290395.90625,104.51013946533203,282188.3772723868,0.5225506973266602,0.4928329075615535,340.0536111933661,62.12221078990797,5.033333333333333,5.883333333333333,3118.6944484357496,80.21152168791154
8,354,393,39,0.6333333333333329,3219.4415856983865,3118.0219616328263,-101.41962406556013,101.41962406556013,3158.5767636803994,29.728390061245214,101.41962406556013,200.0,531646.7961695438,3078.2339808477186,100.33645629882812,258734.625,99.66354370117188,272912.17116954376,0.4983177185058594,0.5133336138501082,141.20760485066785,39.78798078510772,5.9,6.533333333333333,3158.5767636803994,29.728390061245214
9,393,450,57,0.9333333333333336,3114.446591350418,2980.715587387768,-133.73100396265,133.73100396265,3028.246264337945,38.36932058874648,133.73100396265,200.0,507250.5496341818,2956.252748170909,101.94335174560547,251515.71875,98.05664825439453,255734.83088418178,0.49028324127197265,0.5041588048916108,158.19384317950926,24.462839216859265,6.55,7.483333333333333,3028.246264337945,38.36932058874648
10,450,481,31,0.5,2979.4971601053417,2887.640272242102,-91.85688786323954,91.85688786323954,2926.2897167734377,27.220448658822672,91.85688786323954,200.0,482836.3364309541,2834.1816821547704,103.90637969970703,242018.75,96.09362030029297,240817.5864309541,0.48046810150146485,0.4987561379722116,145.31547795057122,53.458590087331686,7.5,8.0,2926.2897167734377,27.220448658822672
